position,scene,AE,MSE,PSNR,SSIM,LPIPS,FID,PSNR_2,SSIM_2
Position0,NIR,2.9823167324,0.0276377629,15.5849723816,0.6788944006,0.3158349395,5.1385723054409E-07,16.9638843536,0.7990856767
Position0,NIR,2.9609613419,0.0287286341,15.4168510437,0.6728739142,0.3205658793,3.84170562028885E-06,16.7928504944,0.7964987755
Position0,NIR,3.0001266003,0.0285936948,15.437297821,0.6721636653,0.3163142502,0.00000198,16.8145599365,0.7983691096
Position0,NIR,2.9621682167,0.0288916677,15.3922748566,0.6632794738,0.3222890496,7.13788904249668E-06,16.7676906586,0.7856885195
Position0,NIR,2.9297435284,0.0297717955,15.2619504929,0.6542756557,0.3124973774,3.77797987312079E-05,16.6376552582,0.7768472433
Position0,NIR,2.9457886219,0.0307118744,15.1269378662,0.652464211,0.3138878942,1.8321443349123E-06,16.4988498688,0.776732862
Position0,NIR,2.9417929649,0.0301318411,15.2097434998,0.6663684249,0.3192649782,7.07828439772129E-06,16.5809612274,0.7907660007
Position0,NIR,2.9706304073,0.030326752,15.1817407608,0.6660612822,0.3189223111,3.38046811521053E-06,16.5554580688,0.7898447514
Position0,NIR,2.8990011215,0.0336371474,14.7318086624,0.6685404778,0.3148332834,4.92390245199204E-06,16.0928878784,0.7897114754
Position0,NIR,2.8622362614,0.0411488004,13.8564291,0.6550320387,0.3336192966,4.96790744364262E-06,15.2038431168,0.7751873732
Position0,NIR,2.8030662537,0.043142736,13.6509227753,0.65159899,0.3377497792,1.02065969258547E-05,14.9958620071,0.7689298391
Position0,NIR,2.9233672619,0.0438345969,13.5818300247,0.6432158351,0.3335637152,4.03868034482002E-06,14.9220952988,0.7620050311
Position0,NIR,2.8157296181,0.0404990613,13.9255514145,0.646663785,0.3291937411,0.0001118013,15.2822437286,0.7565740943
Position0,NIR,2.8369786739,0.0416035801,13.8086929321,0.6400844455,0.3203098774,3.58838587999344E-06,15.1754484177,0.7507376075
Position0,NIR,2.7624652386,0.0419492535,13.7727584839,0.6335422993,0.3122466803,0.000000339,15.1473150253,0.7357683778
Position0,NIR,2.7687151432,0.0418343134,13.7846746445,0.6301445961,0.3036099672,1.73861626535654E-05,15.1555042267,0.7276904583
Position0,NIR,2.771538496,0.0429348648,13.6718988419,0.6248014569,0.3049875796,1.93167943507433E-05,15.0377035141,0.7261387706
Position0,NIR,2.7731006145,0.0426774621,13.698015213,0.6287571788,0.3061233163,0.000001742,15.054526329,0.7284283042
Position0,NIR,2.8209455013,0.0429878384,13.6665449142,0.6196510196,0.3065534234,1.49477273225784E-06,15.02384758,0.7170728445
Position0,NIR,2.7873306274,0.0361477397,14.4191884995,0.6372566819,0.305000484,0.0001002373,15.7847270966,0.7276896238
Position0,NIR,2.7975292206,0.0350039266,14.5588321686,0.6390184164,0.2955131829,5.51692210137844E-06,15.9119586945,0.7246556282
Position0,NIR,2.806375742,0.0320614837,14.940164566,0.6410278082,0.2919673622,3.44892032444477E-06,16.2768573761,0.7206645608
Position0,NIR,2.8819973469,0.030898273,15.1006593704,0.6434308887,0.2867858112,8.99105798453093E-05,16.4430847168,0.7229151726
Position0,NIR,2.8791694641,0.0299495272,15.2361001968,0.6403954029,0.2893392146,5.41587360203266E-06,16.56341362,0.7190714478
Position0,NIR,2.9128983021,0.029030174,15.3715047836,0.649320364,0.277752161,4.83356416225433E-07,16.7116909027,0.7272986174
Position0,NIR,2.9101521969,0.0289496239,15.3835716248,0.6500515938,0.278419435,2.17161141335964E-06,16.7186927795,0.7277187109
Position0,NIR,2.9143483639,0.0313832648,15.0330200195,0.6466957927,0.2797067761,9.25012864172459E-06,16.3558330536,0.7269176245
Position0,NIR,2.8942496777,0.0309911985,15.0876178741,0.6545938253,0.2820248902,4.21050935983658E-05,16.39245224,0.7355043292
Position0,NIR,2.9161934853,0.0302848388,15.1877479553,0.651155591,0.279723078,1.38499308377504E-05,16.4942893982,0.7306158543
Position0,NIR,2.9584066868,0.034737926,14.591960907,0.6514161825,0.2926622033,5.9744343161583E-07,15.8860206604,0.7378014922
Position0,NIR,2.9836089611,0.0313151702,15.0424528122,0.6522507071,0.2964626551,3.92727088183165E-05,16.3166122437,0.7423575521
Position0,NIR,3.0240192413,0.0246539731,16.0811309814,0.6580796242,0.2877777815,4.72087413072586E-06,17.3334236145,0.749329865
Position0,NIR,3.0082871914,0.023385901,16.310459137,0.6531367898,0.2875574827,1.695123501122E-05,17.5427398682,0.7421297431
Position0,NIR,3.0339100361,0.0225269888,16.4729690552,0.6508657932,0.2967781425,6.79241493344307E-05,17.6988067627,0.7395138741
Position0,NIR,3.0476925373,0.0232593585,16.334022522,0.6361942887,0.2946552634,2.13019084185362E-05,17.5576477051,0.7262516022
Position0,NIR,3.0920810699,0.0251153111,16.0006141663,0.6265890002,0.3042263389,1.13551504909992E-06,17.2285518646,0.716716826
Position0,NIR,3.0959672928,0.0252985191,15.9690485001,0.6278294325,0.3059490621,1.50746200233698E-05,17.195690155,0.7191665769
Position0,NIR,3.08116889,0.02470381,16.0723609924,0.6285743117,0.3007318079,7.11437314748764E-06,17.2920780182,0.7201604843
Position0,NIR,3.0947806835,0.0244527571,16.1167221069,0.6296767592,0.3048359156,2.24255491048098E-05,17.3391685486,0.7207783461
Position0,NIR,3.110124588,0.0243072473,16.1426429749,0.6302275658,0.3034874201,3.65760643035173E-05,17.3653964996,0.7212876081
Position0,NIR,3.0986402035,0.0240150671,16.1951618195,0.6320709586,0.2986895144,3.45217995345592E-06,17.4114398956,0.7229002714
Position0,NIR,3.1392388344,0.0246161502,16.0877990723,0.6325470805,0.3011983931,5.49664255231619E-05,17.3070487976,0.7239834666
Position0,NIR,3.1340031624,0.0240889341,16.1818237305,0.6328199506,0.3002137542,0.000066326,17.4024162292,0.7238830924
Position0,NIR,3.0964584351,0.0232137945,16.3425388336,0.6272377372,0.2929778993,5.28409145772457E-06,17.5640029907,0.7143791318
Position0,NIR,3.1383545399,0.0236678738,16.2584075928,0.6209916472,0.2996674776,3.17534431815147E-05,17.4901046753,0.7074517608
Position0,NIR,3.1393892765,0.0229730979,16.3878040314,0.6291118264,0.3014864028,3.19071114063263E-06,17.6288108826,0.7145745754
Position0,NIR,3.117688179,0.0214188732,16.692035675,0.6318431497,0.2982809842,1.24855432659388E-05,17.9326457977,0.716157198
Position0,NIR,3.1478786469,0.0216174256,16.6519603729,0.6376551986,0.3011214733,1.35435257107019E-05,17.8952827454,0.7220394611
Position0,NIR,3.1163966656,0.0217796676,16.6194877625,0.632805109,0.3069672287,3.17255035042763E-06,17.8565235138,0.7180228233
Position0,NIR,3.0829856396,0.0219080616,16.5939617157,0.6304083467,0.3051677346,2.65315175056458E-05,17.823425293,0.715507865
Position0,NIR,3.1150810719,0.0218162704,16.6121940613,0.6311272979,0.3102618158,2.05251853913069E-05,17.8474826813,0.7153329849
Position0,NIR,3.1475856304,0.0214831885,16.6790122986,0.6311221719,0.3072400689,2.70269811153412E-06,17.9272327423,0.7147724628
Position0,NIR,3.0959572792,0.0210836586,16.7605400085,0.6466330886,0.301810354,0.000001058,18.0133895874,0.7328554392
Position0,NIR,3.1426897049,0.0255482569,15.9263887405,0.6377388239,0.312771976,2.75485217571259E-06,17.1864280701,0.7270437479
Position0,NIR,3.0985350609,0.0270284936,15.6817817688,0.6527351737,0.3042078912,1.37195456773043E-05,16.9731483459,0.7430203557
Position0,NIR,3.1125335693,0.0366589837,14.3581962585,0.639819026,0.3147718608,1.52573920786381E-05,15.642993927,0.7312167287
Position0,NIR,3.0575604439,0.0333346911,14.7710361481,0.640737772,0.311719805,1.44473742693663E-05,16.0731010437,0.7269940972
Position0,VNIR,3.1050775051,0.0087082135,20.6007099152,0.821387589,0.1378090233,4.4072512537241E-06,21.8111419678,0.9210082889
Position0,VNIR,3.1215281487,0.0090391766,20.4387111664,0.8189028502,0.1397644877,3.03513370454311E-05,21.6475791931,0.9211163521
Position0,VNIR,3.1146886349,0.0090566138,20.4303398132,0.8181779981,0.1375773549,7.9332385212183E-06,21.6429920197,0.9210104346
Position0,VNIR,3.1267921925,0.0090434225,20.4366722107,0.8189053535,0.1409599781,1.10967084765434E-06,21.6521091461,0.9212768078
Position0,VNIR,3.0933601856,0.0087255137,20.5920886993,0.8224009275,0.1431467682,4.94951382279396E-06,21.8088378906,0.9217168689
Position0,VNIR,3.0440711975,0.0087580616,20.575920105,0.823844552,0.1396722794,6.22775405645371E-06,21.7926807404,0.922508657
Position0,VNIR,3.0675237179,0.0091124978,20.403629303,0.8219738603,0.1391460598,1.02980993688107E-06,21.6170845032,0.9220347404
